version,id,userid,queryname,text,mp3Link,answertime
easyVer,76,AFU00NU09CFXE,comedy,I'm looking for a comedy I want something that will make me laugh,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+AFU00NU09CFXE.mp3,
easyVer,113,ACSS93E03ZUGX,comedy,I'd like to find a comedy movie to watch,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+ACSS93E03ZUGX.mp3,
easyVer,114,AR8O1107OAW4V,comedy,I'm looking for a funny movie,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+AR8O1107OAW4V.mp3,
easyVer,126,ACIZKR30ALBE5,comedy,Alexa can you please find me comedy movies from the 1990s,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+ACIZKR30ALBE5.mp3,
easyVer,133,A3IYDY7TO808Z3,comedy,can you find me some comedy movies to watch,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A3IYDY7TO808Z3.mp3,
easyVer,150,A2KI7W45F6HRVY,comedy,can you help me find a good comedy movie,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A2KI7W45F6HRVY.mp3,
easyVer,169,A2E8RRV64NGTW4,comedy,I'm looking for some comedy films,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A2E8RRV64NGTW4.mp3,
easyVer,162,A23FMTVKQEYCMW,comedy,please find a funny comedy movie,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A23FMTVKQEYCMW.mp3,
easyVer,163,A23FMTVKQEYCMW,comedy,I would like to watch a comedy,file:///Users/cathy/Projects/website1/voice/easyVer+comedy+A23FMTVKQEYCMW.mp3,
gameVer,319,A15YYU3A3SW1T9,Comedy,show me a list of comedy movies,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A15YYU3A3SW1T9+1.mp3,1
gameVer,318,A15YYU3A3SW1T9,Comedy,what is a comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A15YYU3A3SW1T9+0.mp3,0
gameVer,320,A15YYU3A3SW1T9,Comedy,what comedy shows are running on TV right now,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A15YYU3A3SW1T9+2.mp3,2
gameVer,440,A37EV8RZ82WT8E,Comedy,I like something really lighthearted,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A37EV8RZ82WT8E+1.mp3,1
gameVer,441,A37EV8RZ82WT8E,Comedy,can you find me something that will make me laugh,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A37EV8RZ82WT8E+2.mp3,2
gameVer,439,A37EV8RZ82WT8E,Comedy,I need something funny to watch,file:///Users/cathy/Projects/website1/voice/gameVer+Comedy+A37EV8RZ82WT8E+0.mp3,0
easyVer,60,A2B6WQG0A9CKXQ,explosion,I'm looking for a movie with an explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A2B6WQG0A9CKXQ.mp3,
easyVer,107,A3UQM89QJ1V6M4,explosion,find a movie with a big explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A3UQM89QJ1V6M4.mp3,
easyVer,72,A31X9CV1UWZV8Z,explosion,looking for a movie with a lot of explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A31X9CV1UWZV8Z.mp3,
easyVer,84,AFU00NU09CFXE,explosion,I'm in the mood to see a movie with a really good explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+AFU00NU09CFXE.mp3,
easyVer,98,A18V2X9VHAVWE7,explosion,explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A18V2X9VHAVWE7.mp3,
easyVer,120,AR8O1107OAW4V,explosion,find something with an explosion,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+AR8O1107OAW4V.mp3,
easyVer,132,ACIZKR30ALBE5,explosion,Alexa can you find films that have good explosion scenes,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+ACIZKR30ALBE5.mp3,
easyVer,144,A3IYDY7TO808Z3,explosion,can you find me a movie with lots of explosions in it,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A3IYDY7TO808Z3.mp3,
easyVer,170,A23FMTVKQEYCMW,explosion,I would love to see a movie with explosions,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A23FMTVKQEYCMW.mp3,
easyVer,178,A2E8RRV64NGTW4,explosion,I want to watch a movie with a lot of explosions,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A2E8RRV64NGTW4.mp3,
easyVer,156,A2KI7W45F6HRVY,explosion,I'm looking for a movie with explosions in it,file:///Users/cathy/Projects/website1/voice/easyVer+explosion+A2KI7W45F6HRVY.mp3,
gameVer,247,A2RDAJ32TF20LF,Films similar to Titanic,ブレスオブファイア3.5メンテ,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A2RDAJ32TF20LF+0.mp3,0
gameVer,248,A2RDAJ32TF20LF,Films similar to Titanic,what words One Direction BOX,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A2RDAJ32TF20LF+1.mp3,1
gameVer,250,A2RDAJ32TF20LF,Films similar to Titanic,アマチュア女流レオナルドディカプリオムービー,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A2RDAJ32TF20LF+2.mp3,2
gameVer,286,A15YYU3A3SW1T9,Films similar to Titanic,what's another movie like Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A15YYU3A3SW1T9+0.mp3,0
gameVer,310,AJB8Q0859LFAC,Films similar to Titanic,are there any movies similar to Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+AJB8Q0859LFAC+1.mp3,1
gameVer,312,AJB8Q0859LFAC,Films similar to Titanic,I like Titanic are there any movies similar,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+AJB8Q0859LFAC+2.mp3,2
gameVer,289,A15YYU3A3SW1T9,Films similar to Titanic,are there similar movies as Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A15YYU3A3SW1T9+1.mp3,1
gameVer,294,A15YYU3A3SW1T9,Films similar to Titanic,can you recommend another movie like Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+A15YYU3A3SW1T9+2.mp3,2
gameVer,306,AJB8Q0859LFAC,Films similar to Titanic,what is a movies like Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Films similar to Titanic+AJB8Q0859LFAC+0.mp3,0
gameVer,161,A1E77HZO63E334,Find me some movies similar to Titanic.,can you help me find a movie in the theaters that's kind of like Titanic Maybe,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A1E77HZO63E334+0.mp3,0
gameVer,162,A1E77HZO63E334,Find me some movies similar to Titanic.,are there any movies that just came out there like Titanic at all,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A1E77HZO63E334+1.mp3,1
gameVer,163,A1E77HZO63E334,Find me some movies similar to Titanic.,what are some movies that are similar to Titanic that are in the theaters right now,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A1E77HZO63E334+2.mp3,2
gameVer,363,A30J4IZCMCR31F,Find me some movies similar to Titanic.,what are some movies that are similar to Titanic,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A30J4IZCMCR31F+1.mp3,1
gameVer,361,A30J4IZCMCR31F,Find me some movies similar to Titanic.,I'd like to find a movie that's similar to to Titanic can you help me find some,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A30J4IZCMCR31F+0.mp3,0
gameVer,365,A30J4IZCMCR31F,Find me some movies similar to Titanic.,I really like the movie Titanic can you help me find something similar,file:///Users/cathy/Projects/website1/voice/gameVer+Find me some movies similar to Titanic.+A30J4IZCMCR31F+2.mp3,2
easyVer,57,A2B6WQG0A9CKXQ,France,looking for French movie,file:///Users/cathy/Projects/website1/voice/easyVer+France+A2B6WQG0A9CKXQ.mp3,
easyVer,68,A31X9CV1UWZV8Z,France,I'm looking for movies from France,file:///Users/cathy/Projects/website1/voice/easyVer+France+A31X9CV1UWZV8Z.mp3,
easyVer,82,AFU00NU09CFXE,France,what movies are there that have been made in France that have actors or directors from France,file:///Users/cathy/Projects/website1/voice/easyVer+France+AFU00NU09CFXE.mp3,
easyVer,96,A18V2X9VHAVWE7,France,France,file:///Users/cathy/Projects/website1/voice/easyVer+France+A18V2X9VHAVWE7.mp3,
easyVer,105,A3UQM89QJ1V6M4,France,look for a movie based in France,file:///Users/cathy/Projects/website1/voice/easyVer+France+A3UQM89QJ1V6M4.mp3,
easyVer,118,AR8O1107OAW4V,France,show me movies with France in them,file:///Users/cathy/Projects/website1/voice/easyVer+France+AR8O1107OAW4V.mp3,
easyVer,130,ACIZKR30ALBE5,France,Alexa can you find films about France,file:///Users/cathy/Projects/website1/voice/easyVer+France+ACIZKR30ALBE5.mp3,
easyVer,140,A3IYDY7TO808Z3,France,can you find movies that are based in France,file:///Users/cathy/Projects/website1/voice/easyVer+France+A3IYDY7TO808Z3.mp3,
easyVer,154,A2KI7W45F6HRVY,France,can you find me a movie that was filmed in France,file:///Users/cathy/Projects/website1/voice/easyVer+France+A2KI7W45F6HRVY.mp3,
easyVer,167,A23FMTVKQEYCMW,France,I would like to see a movie from Prince,file:///Users/cathy/Projects/website1/voice/easyVer+France+A23FMTVKQEYCMW.mp3,
easyVer,176,A2E8RRV64NGTW4,France,I'm looking for some French films to watch,file:///Users/cathy/Projects/website1/voice/easyVer+France+A2E8RRV64NGTW4.mp3,
gameVer,473,A1KA64FR47O9FS,Funny movies,comedy movies,file:///Users/cathy/Projects/website1/voice/gameVer+Funny movies+A1KA64FR47O9FS+0.mp3,0
gameVer,475,A1KA64FR47O9FS,Funny movies,movies that make me laugh,file:///Users/cathy/Projects/website1/voice/gameVer+Funny movies+A1KA64FR47O9FS+1.mp3,1
gameVer,480,A1KA64FR47O9FS,Funny movies,funny films,file:///Users/cathy/Projects/website1/voice/gameVer+Funny movies+A1KA64FR47O9FS+2.mp3,2
gameVer,206,A76YXASD7CTAH,Id like to watch a commedy,I'd like to watch a movie that is funny but isn't really romantic,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A76YXASD7CTAH+1.mp3,1
gameVer,208,A76YXASD7CTAH,Id like to watch a commedy,can you give me a list of new comedy movies available for streaming,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A76YXASD7CTAH+2.mp3,2
gameVer,204,A76YXASD7CTAH,Id like to watch a commedy,what's a new comedy available for streaming,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A76YXASD7CTAH+0.mp3,0
gameVer,257,A96JK3576FXG5,Id like to watch a commedy,I would like to watch action,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A96JK3576FXG5+0.mp3,0
gameVer,258,A96JK3576FXG5,Id like to watch a commedy,I would like to watch a comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A96JK3576FXG5+1.mp3,1
gameVer,337,AJB8Q0859LFAC,Id like to watch a commedy,what's a good comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AJB8Q0859LFAC+1.mp3,1
gameVer,338,AJB8Q0859LFAC,Id like to watch a commedy,I want to see a comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AJB8Q0859LFAC+2.mp3,2
gameVer,260,A96JK3576FXG5,Id like to watch a commedy,I would like to watch the tragedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A96JK3576FXG5+2.mp3,2
gameVer,335,AJB8Q0859LFAC,Id like to watch a commedy,do you have a recommendation for a comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AJB8Q0859LFAC+0.mp3,0
gameVer,389,A30J4IZCMCR31F,Id like to watch a commedy,I'm in the mood to laugh show me comedies,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A30J4IZCMCR31F+0.mp3,0
gameVer,391,A30J4IZCMCR31F,Id like to watch a commedy,what kind of movies can I choose from that are comedies,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A30J4IZCMCR31F+1.mp3,1
gameVer,393,A30J4IZCMCR31F,Id like to watch a commedy,comedies are the best I'd like to watch one,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+A30J4IZCMCR31F+2.mp3,2
gameVer,477,AKHH4W14A6AN9,Id like to watch a commedy,I'm looking for a funny movie,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AKHH4W14A6AN9+0.mp3,0
gameVer,479,AKHH4W14A6AN9,Id like to watch a commedy,I'm looking for a comedy to watch,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AKHH4W14A6AN9+2.mp3,2
gameVer,478,AKHH4W14A6AN9,Id like to watch a commedy,show me a comedy,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch a commedy+AKHH4W14A6AN9+1.mp3,1
gameVer,183,A8CCJBJC0HPSA,Id like to watch The Shawshank Redemption,I want to watch Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A8CCJBJC0HPSA+0.mp3,0
gameVer,184,A8CCJBJC0HPSA,Id like to watch The Shawshank Redemption,what are viewings for Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A8CCJBJC0HPSA+1.mp3,1
gameVer,186,A8CCJBJC0HPSA,Id like to watch The Shawshank Redemption,what are current showings for Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A8CCJBJC0HPSA+2.mp3,2
gameVer,191,A76YXASD7CTAH,Id like to watch The Shawshank Redemption,can you play Shawshank Redemption on the TV,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A76YXASD7CTAH+0.mp3,0
gameVer,194,A76YXASD7CTAH,Id like to watch The Shawshank Redemption,can I stream Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A76YXASD7CTAH+2.mp3,2
gameVer,193,A76YXASD7CTAH,Id like to watch The Shawshank Redemption,what services can I use to watch Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A76YXASD7CTAH+1.mp3,1
gameVer,245,A96JK3576FXG5,Id like to watch The Shawshank Redemption,I would like to watch the mission impossible,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A96JK3576FXG5+0.mp3,0
gameVer,246,A96JK3576FXG5,Id like to watch The Shawshank Redemption,eagerly waiting for Harry Potter,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A96JK3576FXG5+1.mp3,1
gameVer,249,A96JK3576FXG5,Id like to watch The Shawshank Redemption,watch the movie with my favorite,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A96JK3576FXG5+2.mp3,2
gameVer,309,A15YYU3A3SW1T9,Id like to watch The Shawshank Redemption,please start the Shawshank Redemption movie,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A15YYU3A3SW1T9+1.mp3,1
gameVer,311,A15YYU3A3SW1T9,Id like to watch The Shawshank Redemption,can you pull up the Shawshank Redemption movie to be watch now,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A15YYU3A3SW1T9+2.mp3,2
gameVer,327,AJB8Q0859LFAC,Id like to watch The Shawshank Redemption,I want to see the Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+AJB8Q0859LFAC+1.mp3,1
gameVer,329,AJB8Q0859LFAC,Id like to watch The Shawshank Redemption,how about the Shawshank Redemption do you have that,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+AJB8Q0859LFAC+2.mp3,2
gameVer,308,A15YYU3A3SW1T9,Id like to watch The Shawshank Redemption,can you show the Shawshank Redemption now,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+A15YYU3A3SW1T9+0.mp3,0
gameVer,325,AJB8Q0859LFAC,Id like to watch The Shawshank Redemption,can you help me find the Shawshank Redemption,file:///Users/cathy/Projects/website1/voice/gameVer+Id like to watch The Shawshank Redemption+AJB8Q0859LFAC+0.mp3,0
easyVer,55,A2B6WQG0A9CKXQ,interesting characters,I'm looking for a movie with really interesting characters and an interesting plot,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A2B6WQG0A9CKXQ.mp3,
easyVer,63,A31X9CV1UWZV8Z,interesting characters,I'm looking for a movie with interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A31X9CV1UWZV8Z.mp3,
easyVer,80,AFU00NU09CFXE,interesting characters,I'm in the mood for a movie was really interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+AFU00NU09CFXE.mp3,
easyVer,94,A18V2X9VHAVWE7,interesting characters,Anderson characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A18V2X9VHAVWE7.mp3,
easyVer,103,A3UQM89QJ1V6M4,interesting characters,find a movie with interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A3UQM89QJ1V6M4.mp3,
easyVer,116,AR8O1107OAW4V,interesting characters,show me something with interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+AR8O1107OAW4V.mp3,
easyVer,128,ACIZKR30ALBE5,interesting characters,Alexa can you please find movies with interesting character portrayals,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+ACIZKR30ALBE5.mp3,
easyVer,137,A3IYDY7TO808Z3,interesting characters,what are some movies that have interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A3IYDY7TO808Z3.mp3,
easyVer,152,A2KI7W45F6HRVY,interesting characters,I'm looking for a movie with interesting characters that my children might like,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A2KI7W45F6HRVY.mp3,
easyVer,165,A23FMTVKQEYCMW,interesting characters,interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A23FMTVKQEYCMW.mp3,
easyVer,173,A2E8RRV64NGTW4,interesting characters,I'm looking for a movie with some interesting characters,file:///Users/cathy/Projects/website1/voice/easyVer+interesting characters+A2E8RRV64NGTW4.mp3,
posterVer,166,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,167,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,171,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,177,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,178,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,180,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,182,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,168,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,169,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,181,A27NY1OB36GONQ,movie2018HorrorampOthers1,,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,183,A27NY1OB36GONQ,movie2018HorrorampOthers1,Slender Man,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A27NY1OB36GONQ.mp3,
posterVer,207,A2FLOH4DM8A4ZS,movie2018HorrorampOthers1,show me Slender Man,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A2FLOH4DM8A4ZS.mp3,
posterVer,229,A1F1BIPJR11LSR,movie2018HorrorampOthers1,I'm looking for newer horror movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A1F1BIPJR11LSR.mp3,
posterVer,238,A2E3TO92MCQ9XU,movie2018HorrorampOthers1,I'm looking for recent supernatural horror movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A2E3TO92MCQ9XU.mp3,
posterVer,243,AY6FIVEJJAWMK,movie2018HorrorampOthers1,I'm looking for recent horror movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+AY6FIVEJJAWMK.mp3,
posterVer,291,A9KQQ8FTBHIO0,movie2018HorrorampOthers1,looking for a really creepy horror movies for Halloween,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A9KQQ8FTBHIO0.mp3,
posterVer,274,A96JK3576FXG5,movie2018HorrorampOthers1,Dallas,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A96JK3576FXG5.mp3,
posterVer,320,AZ5ZYUCAQ0XDL,movie2018HorrorampOthers1,Slender Man,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+AZ5ZYUCAQ0XDL.mp3,
posterVer,325,A2Q1BZPQ1BFPSM,movie2018HorrorampOthers1,find newer horror movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A2Q1BZPQ1BFPSM.mp3,
posterVer,364,A1SLJKNSNHOJRN,movie2018HorrorampOthers1,looking for the horror movie it 2017,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A1SLJKNSNHOJRN.mp3,
posterVer,403,A1FS8SBR4SDWYG,movie2018HorrorampOthers1,I like to watch the new remake of it,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A1FS8SBR4SDWYG.mp3,
posterVer,379,A16SAB417Y96G4,movie2018HorrorampOthers1,Slender Man,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A16SAB417Y96G4.mp3,
posterVer,384,A1GTYHV8OYQQLV,movie2018HorrorampOthers1,find scary movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A1GTYHV8OYQQLV.mp3,
posterVer,422,A9HQ3E0F2AGVO,movie2018HorrorampOthers1,I want to watch a new horror film,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A9HQ3E0F2AGVO.mp3,
posterVer,450,AT6LDQNLKTUSE,movie2018HorrorampOthers1,I'm looking for recent horror movies,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+AT6LDQNLKTUSE.mp3,
posterVer,455,A1B76WYZ47BQJ,movie2018HorrorampOthers1,Jaws,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A1B76WYZ47BQJ.mp3,
posterVer,469,A2M3KQ9CKP7YW,movie2018HorrorampOthers1,what year was Jaws released and is it better than the omen,file:///Users/cathy/Projects/website1/voice/posterVer+movie2018HorrorampOthers1+A2M3KQ9CKP7YW.mp3,
posterVer,127,A2T007HZK66WM,movieAlfred Hitchcock,oh,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A2T007HZK66WM.mp3,
posterVer,162,A27ZE20JZ3VDUP,movieAlfred Hitchcock,vertigo 1958,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A27ZE20JZ3VDUP.mp3,
posterVer,297,A2Q1BZPQ1BFPSM,movieAlfred Hitchcock,find horror movies from the 50s and 60s,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A2Q1BZPQ1BFPSM.mp3,
posterVer,305,AZ5ZYUCAQ0XDL,movieAlfred Hitchcock,psycho,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+AZ5ZYUCAQ0XDL.mp3,
posterVer,349,A1SLJKNSNHOJRN,movieAlfred Hitchcock,I'm looking for vertigo by Alfred Hitchcock,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A1SLJKNSNHOJRN.mp3,
posterVer,367,A16SAB417Y96G4,movieAlfred Hitchcock,vertigo,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A16SAB417Y96G4.mp3,
posterVer,445,A2M3KQ9CKP7YW,movieAlfred Hitchcock,I would like the movie here that has the highest rating overall,file:///Users/cathy/Projects/website1/voice/posterVer+movieAlfred Hitchcock+A2M3KQ9CKP7YW.mp3,
posterVer,144,A27NY1OB36GONQ,movieChina,,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,145,A27NY1OB36GONQ,movieChina,,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,147,A27NY1OB36GONQ,movieChina,,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,148,A27NY1OB36GONQ,movieChina,,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,150,A27NY1OB36GONQ,movieChina,,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,152,A27NY1OB36GONQ,movieChina,The Monkey King,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A27NY1OB36GONQ.mp3,
posterVer,190,A2FLOH4DM8A4ZS,movieChina,I want to learn more about Crouching Tiger Hidden Dragon,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A2FLOH4DM8A4ZS.mp3,
posterVer,210,A1F1BIPJR11LSR,movieChina,I'm looking for movies in Mandarin,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A1F1BIPJR11LSR.mp3,
posterVer,223,A2E3TO92MCQ9XU,movieChina,I'm looking for Chinese language movies that have been released in the US,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A2E3TO92MCQ9XU.mp3,
posterVer,261,A96JK3576FXG5,movieChina,The Monkey King,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A96JK3576FXG5.mp3,
posterVer,352,A1GTYHV8OYQQLV,movieChina,find movie Crouching Tiger Hidden Dragon,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A1GTYHV8OYQQLV.mp3,
posterVer,397,A1FS8SBR4SDWYG,movieChina,I'm trying to find Crouching Tiger Hidden Dragon,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A1FS8SBR4SDWYG.mp3,
posterVer,416,A9HQ3E0F2AGVO,movieChina,I'd like to watch a film about Chinese culture,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A9HQ3E0F2AGVO.mp3,
posterVer,436,AT6LDQNLKTUSE,movieChina,I'm looking for The Monkey King,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+AT6LDQNLKTUSE.mp3,
posterVer,442,A1B76WYZ47BQJ,movieChina,I'm looking for the movie Monkey King,file:///Users/cathy/Projects/website1/voice/posterVer+movieChina+A1B76WYZ47BQJ.mp3,
